Articles (articles_PADI_relevant.csv)	Topic 0 : million / milliard / franc / entreprise / affaire / service / marché / chiffre / sénégal / cfa	Topic 1 : covid / 19 / cas / pandémie / santé / pays / contre / Sénégal / sanitaire / crise	Topic 2 : femme / pouvoir / homme / journée / vie / fille / famille / jour / bien / mars	Topic 3 : Afrique / développement / eau / pays / africain / Sénégal / mondial / international / durable / agriculture	Topic 4 : sénégal / bon / équipe / voir / bien / beaucoup / gagner / vraiment / yer / match	Topic 5 : Sénégal / sénégalais / président / Diop / Ndiaye / dakar / Senghor / Mamadou / Afrique / Dakar	Topic 6 : enseignant / éducation / élève / école / accord / gouvernement / syndicat / problème / cours / année	Topic 7 : loi / droit / national / assemblée / député / pouvoir / maire / article / Sénégal / code	Topic 8 : élection / électoral / candidat / pouvoir / politique / parti / devoir / vote / opposition / justice	Topic 9 : lion / finale / but / Sénégal / match / minute / egypte / face / février / victoire	Topic 10 : président / politique / pouvoir / Wade / sénégalais / Macky / Abdoulaye / sall / etat / parti	Topic 11 : pays / africain / pouvoir / économique / produit / économie / président / Afrique / alimentaire / continent	Topic 12 : sénégal / ramener / beaucoup / monde / new / ligne / petit / bon / mener / voir	Topic 13 : équipe / joueur / match / Sénégal / coupe / jouer / pouvoir / club / national / lion	Topic 14 : pêche / ressource / riz / acteur / secteur / local / pétrole / Sénégal / national / gaz	Topic 15 : père / jour / grand / venir / sénégalais / famille / fils / village / vivre / terre	Topic 16 : eau / zone / population / région / commune / village / terre / pouvoir / rural / service	Topic 17 : pouvoir / aujourd / sénégal / voir / état / devoir / vouloir / savoir / bien / beaucoup	Topic 18 : Sénégal / milliard / etat / sénégalais / gouvernement / Bénin / ministre / sénégal / CFA / public	Topic 19 : agricole / producteur / production / bénin / gouvernement / tonne / agriculture / national / produit / ministre	Topic 20 : ministre / président / république / etat / chef / national / conseil / Macky / communication / gouvernement	Topic 21 : pouvoir / information / réseau / donnée / social / Sénégal / devoir / sénégalais / communication / numérique	Topic 22 : projet / formation / national / développement / programme / secteur / travail / centre / financement / cadre	Topic 23 : Wade / etat / sénégalais / chef / prendre / pouvoir / guerre / Ukraine / pays / président	Topic 24 : prix / fcfa / produit / hausse / marché / milliard / année / denrée / mois / franc	Topic 25 : pays / militaire / russe / Ukraine / Mali / président / force / armée / Russie / sanction	Topic 26 : affaire / justice / presse / dossier / dernier / mort / victime / pouvoir / contre / enquête	Topic 27 : santé / enfant / alimentaire / hôpital / maladie / sanitaire / système / médecin / civil / médical	Topic 28 : football / national / sport / sénégal / fédération / sénégalais / président / stade / coupe / sportif	Topic 29 : beaucoup / pouvoir / artiste / voir / culture / sénégalais / musique / venir / bien / vraiment	Topic 30 : sénégal / état / heure / édition / pouvoir / commune / sénégalais / jour / autorité / président	Topic 31 : Cheikh / religieux / musulman / professeur / Sénégal / communauté / fête / université / monde / science	Topic 32 : pouvoir / politique / pays / devoir / sénégalais / Sénégal / bien / homme / monde / peuple	Topic 33 : coalition / liste / élection / Yewwi / sonko / leader / politique / opposition / Askan / maire	Topic 34 : jeune / emploi / pouvoir / pays / entreprise / programme / local / jeunesse / devoir / politique
article 0	0.00021	0.20894	0.03792	0.20219	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.04443	0.00021	0.00021	0.31755	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.06764	0.00021	0.00021	0.11537	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021
article 1	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.03012	0.34789	0.00062	0.00062	0.00062	0.53389	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.06885	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062
article 2	0.00034	0.00034	0.12508	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.08117	0.00034	0.00034	0.00034	0.00034	0.0193	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.59534	0.00034	0.00034	0.16903	0.00034	0.00034	0.00034	0.00034	0.00034
article 3	0.00021	0.00021	0.00021	0.00021	0.00021	0.47855	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.48019	0.00021	0.00021	0.00021	0.00021	0.03458	0.00021	0.00021	0.00021	0.00021
article 4	0.00031	0.00031	0.00031	0.00031	0.00031	0.24781	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.04523	0.06228	0.12248	0.00031	0.00031	0.00031	0.00031	0.00031	0.11794	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.36924	0.00031	0.02642	0.00031	0.00031	0.00031
article 5	0.00717	6e-05	6e-05	0.02655	0.10696	6e-05	0.03395	0.02632	0.04128	6e-05	6e-05	6e-05	0.71289	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	0.0434	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05
article 6	0.00034	0.00034	0.00034	0.00034	0.00034	0.12503	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.77204	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.09217	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034
article 7	9e-05	9e-05	9e-05	9e-05	9e-05	0.04854	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	0.0596	9e-05	0.7592	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	0.12985	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05
article 8	0.0003	0.0003	0.0003	0.0003	0.58462	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.22726	0.0003	0.0003	0.0003	0.07154	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.10717	0.0003	0.0003	0.0003	0.0003	0.0003
article 9	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.06271	4e-05	4e-05	0.0535	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.40073	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.48198	4e-05	4e-05	4e-05	4e-05	4e-05
article 10	0.00015	0.00015	0.00015	0.00015	0.00015	0.06961	0.00015	0.00015	0.00015	0.00015	0.00015	0.21282	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.11974	0.00015	0.01686	0.00015	0.05873	0.02266	0.00015	0.00015	0.00015	0.01735	0.00015	0.00015	0.00015	0.22258	0.00015	0.25583
article 11	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.19452	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.39918	0.00027	0.17419	0.00027	0.06828	0.00027	0.15566	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027
article 12	9e-05	9e-05	9e-05	0.02178	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	0.93897	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	0.03632	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05
article 13	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.06344	0.00058	0.00058	0.19099	0.00058	0.00058	0.72692	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058
article 14	0.00012	0.00012	0.00012	0.00012	0.00012	0.02021	0.04606	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.77447	0.00012	0.00012	0.00012	0.07636	0.00012	0.00012	0.00012	0.00012	0.03181	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.04753
article 15	0.0002	0.12834	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.20673	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.07006	0.0002	0.0002	0.0002	0.0002	0.0002	0.38288	0.20612	0.0002	0.0002
article 16	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.26893	0.00015	0.00015	0.00015	0.00015	0.08432	0.00015	0.00015	0.0444	0.00015	0.2332	0.00015	0.00015	0.15165	0.00015	0.21312	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015
article 17	0.00034	0.11078	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.21216	0.33131	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.16952	0.00034	0.00034	0.00034	0.00034	0.16616	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034
article 18	0.00019	0.00019	0.00019	0.00019	0.17043	0.00019	0.00019	0.00019	0.09412	0.00019	0.00019	0.00019	0.56364	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.16595	0.00019
article 19	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.9661	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.02294	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033
article 20	0.00013	0.00013	0.00013	0.37229	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.1822	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.03748	0.00013	0.40386	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013
article 21	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.28927	0.00034	0.00034	0.00034	0.00034	0.00034	0.69964	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034
article 22	0.00022	0.00022	0.00022	0.00022	0.00022	0.05171	0.00022	0.08267	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.03257	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.34135	0.00022	0.00022	0.00022	0.3019	0.00022	0.00022	0.00022	0.00022	0.00022	0.18328	0.00022	0.00022
article 23	0.00021	0.00021	0.00021	0.00021	0.12105	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.42501	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.17342	0.27392	0.00021
article 24	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.02728	0.00011	0.07927	0.00011	0.00011	0.00011	0.40626	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.01946	0.14442	0.00011	0.06598	0.00011	0.00011	0.00011	0.25435	0.00011	0.00011
article 25	4e-05	4e-05	4e-05	0.04369	4e-05	4e-05	0.00496	4e-05	4e-05	4e-05	4e-05	4e-05	0.02764	4e-05	4e-05	0.00904	0.2167	0.61973	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.07721
article 26	0.00025	0.00025	0.00025	0.00025	0.00025	0.09377	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.88193	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.01621	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025
article 27	0.00024	0.00024	0.00024	0.00024	0.00024	0.10102	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.24997	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.6412	0.00024
article 28	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.99048	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028	0.00028
article 29	5e-05	5e-05	5e-05	5e-05	0.23334	5e-05	5e-05	5e-05	0.26556	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.16879	5e-05	5e-05	5e-05	5e-05	5e-05	0.03154	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.26028	0.03892
article 30	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.40496	0.0001	0.0001	0.0001	0.09355	0.0001	0.26605	0.0001	0.02944	0.0001	0.18608	0.0001	0.0001	0.0001	0.01705	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
article 31	0.00058	0.98017	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058
article 32	0.00018	0.00018	0.00018	0.23861	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.03635	0.00018	0.05171	0.34912	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.07148	0.1582	0.00018	0.00018	0.00018	0.00018	0.08946	0.00018	0.00018
article 33	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.69204	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.03993	0.00012	0.00012	0.00012	0.11389	0.00012	0.01789	0.13264	0.00012	0.00012
article 34	0.00033	0.00033	0.00033	0.00033	0.00033	0.22899	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.7393	0.02108	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033
article 35	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.41199	0.00019	0.00019	0.00019	0.05111	0.00019	0.00019	0.00019	0.00019	0.00019	0.11841	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.05213	0.00019	0.36065	0.00019
article 36	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.24792	0.16352	0.00012	0.00012	0.38515	0.00012	0.06436	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.03966	0.00012	0.00012	0.00012	0.09589	0.00012	0.00012
article 37	0.00013	0.11645	0.00013	0.00013	0.00013	0.06744	0.39841	0.00013	0.18761	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.14779	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.05586	0.00013	0.02284	0.00013
article 38	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.04332	4e-05	0.19253	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.06065	0.02994	0.28808	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.38427	4e-05	4e-05
article 39	0.00022	0.00022	0.00022	0.17847	0.00022	0.06453	0.00022	0.04581	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.18401	0.00022	0.00022	0.00022	0.00022	0.00022	0.12603	0.08382	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.25329	0.05806
article 40	0.00031	0.00031	0.00031	0.00031	0.00031	0.041	0.00031	0.00031	0.00031	0.07402	0.00031	0.00031	0.00031	0.87494	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031
article 41	0.00032	0.00032	0.20562	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.4336	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.29174	0.00032	0.05898	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032
article 42	9e-05	9e-05	0.2379	9e-05	9e-05	0.02604	9e-05	9e-05	9e-05	9e-05	9e-05	0.08155	9e-05	9e-05	9e-05	9e-05	0.35755	9e-05	0.04952	9e-05	9e-05	9e-05	0.24487	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05
article 43	0.00021	0.12132	0.00021	0.21091	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.25135	0.00021	0.00021	0.00021	0.00021	0.04919	0.00021	0.00021	0.00021	0.00021	0.0497	0.00021	0.00021	0.00021	0.11268	0.19894	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021
article 44	0.00018	0.01939	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.62306	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.35184	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018
article 45	0.00055	0.00055	0.58805	0.00055	0.00055	0.15754	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.19605	0.00055	0.00055	0.00055	0.00055	0.00055	0.04134	0.00055	0.00055	0.00055	0.00055	0.00055
article 46	0.25721	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.54178	0.00036	0.00036	0.18958	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036
article 47	0.00036	0.00036	0.00036	0.00036	0.18083	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.12327	0.00036	0.00036	0.07076	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.61408	0.00036
article 48	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.02358	0.0002	0.0002	0.0002	0.3055	0.0002	0.0002	0.0002	0.0002	0.10286	0.0002	0.0002	0.07671	0.0002	0.0002	0.0002	0.0002	0.11607	0.0002	0.0002	0.23987	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.12977	0.0002
article 49	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	0.06562	7e-05	7e-05	7e-05	0.80236	7e-05	7e-05	7e-05	0.0781	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	0.0517	7e-05
article 50	0.00033	0.00033	0.00033	0.00033	0.00033	0.04114	0.00033	0.00033	0.0413	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.08189	0.00033	0.00033	0.38682	0.00033	0.43898	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033
article 51	0.00031	0.00031	0.00031	0.00031	0.00031	0.1656	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.48819	0.00031	0.00031	0.00031	0.00031	0.00031	0.11798	0.00031	0.00031	0.00031	0.00031	0.2186	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031
article 52	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.17712	0.00025	0.59625	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.06233	0.00025	0.00025	0.15652	0.00025	0.00025	0.00025	0.00025	0.00025
article 53	0.00023	0.00023	0.00023	0.00023	0.00023	0.23895	0.00023	0.00023	0.00023	0.00023	0.06785	0.02258	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.29905	0.00023	0.00023	0.00023	0.00023	0.00023	0.36454	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023
article 54	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.67955	0.00031	0.00031	0.00031	0.00031	0.04758	0.00031	0.00031	0.26305	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031
article 55	8e-05	0.03347	0.04804	8e-05	8e-05	0.02096	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.29757	8e-05	8e-05	8e-05	8e-05	8e-05	0.02007	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.24829	8e-05	8e-05	0.32942	8e-05	8e-05
article 56	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.25298	0.00027	0.00027	0.00027	0.00027	0.00027	0.19231	0.00027	0.00027	0.00027	0.00027	0.42315	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.12328
article 57	0.00018	0.00018	0.00018	0.34116	0.00018	0.10216	0.00018	0.00018	0.00018	0.00018	0.00018	0.21587	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.13379	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.20153	0.00018	0.00018
article 58	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.02729	0.00013	0.00013	0.00013	0.00013	0.00013	0.28456	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.44014	0.00013	0.00013	0.00013	0.00013	0.00013	0.19902	0.00013	0.00013	0.04497
article 59	0.04009	0.58035	0.11076	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.06185	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.20443	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05
article 60	0.00036	0.00036	0.00036	0.30732	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.31383	0.00036	0.23362	0.00036	0.13416	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036
article 61	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.07509	0.07258	5e-05	0.03186	5e-05	0.81892	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05
article 62	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.11116	0.0002	0.23938	0.0002	0.0002	0.0002	0.0002	0.0002	0.04528	0.17496	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.36209	0.0002	0.06144
article 63	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.01629	0.00026	0.00026	0.00026	0.00026	0.48839	0.00026	0.00026	0.00026	0.26681	0.04948	0.00026	0.00026	0.00026	0.00026	0.00026	0.09283	0.00026	0.07853	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026
article 64	0.07576	0.0006	0.0006	0.03813	0.0006	0.11812	0.0006	0.0006	0.0006	0.11042	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.06797	0.0006	0.0006	0.0006	0.0006	0.42676	0.0006	0.0006	0.0006	0.0006	0.14617
article 65	0.00022	0.00022	0.00022	0.00022	0.00022	0.03888	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.20898	0.00022	0.00022	0.2159	0.00022	0.00022	0.00022	0.00022	0.19199	0.00022	0.00022	0.17052	0.00022	0.16721	0.00022	0.00022	0.00022	0.00022	0.00022
article 66	0.00015	0.00015	0.21956	0.00015	0.00015	0.00015	0.00015	0.07237	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.70313	0.00015
article 67	0.00019	0.00019	0.00019	0.00019	0.00019	0.33858	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.5141	0.00019	0.00019	0.00019	0.09088	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.05061	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019
article 68	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.05897	0.42745	0.00021	0.00021	0.00021	0.00021	0.00021	0.04675	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.17036	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.29008	0.00021
