CENTRE;HAUTS-BASSINS;SAHEL
Weglega;Signoghin;Boullel
Yalagre;Somanguima;Deberé
Zanghindiesse;Soumousso;Dialafanka
Zekounga;Tiébadialofaso;Gonadaouri
Balkuy;Wara;Gountouré
Yamtenga;Yéguéré;Hondokiré
Boassa;Dan;Kollel
Sandogo;Seye-kouremangofesso;Oursi
Zagtoul;dawera;Petelgaoudi
Nioko 2;Kogoma;Soukoundou
Polesgo;Korédéni;Tayaret
Sakoula;Koundougou;Thematan
Soguedin;Mangorotou;Timbolo
Roumting;Soumorodougou;Tin-Ediar
Basseko;Tarama;Tinhatane
Bissighin;Batoungouana;Torom
Darsalam;Bodialédaga;Totori
Kamboincé;Bona;Tounté
Simiougou;Kofila;Tringuel
Yagma;Konkourona;Yomboli
;Konzo;Bangao
;Kouekouesso;Beldiabé
;Koundimi;Fadar-Fadar  Sud
;Lena;Fadar-Fadar Nord
;Oualana;Inabao
;Tatalama;Intangom
;Toungouana;Intayalene
;Yabasso;Kacham-Est
;Zatama;Kacham-Ouest
;Bankouma;Massifigui
;Banwali;Menzourou
;Djigouéma;Rafnamane
;Hamdalaye;Tin-Akoff
;Kimini;Tin-Rhassane I
;Koledougou;Tin-Rhassane II
;Lahirasso;Tin-Zalayanane
;Nématoulaye;Wassakoré
;Padéma;Adoudié
;Soma;Alalel
;Wigayatoulaye;Amsia
;Zongoma;Babirka mango
;Dabokry;Babirka ouro demoa
;Dissini;Babirka ouro esso
;Dodougou;Babirka ouro sory
;Dogossesso;Babirka tangassouka
;Donfara;Balloulé
;Dounousso;Bamguel
;Finlandé;Bamloye
;Gnafongo;Bani
;Kodara;Bayeldiaga
;Koumandara;Binderé
;Lanfièra;bolare
;Marabagasso;Bomboel
;Mê;Bouna
;Moussobadougou;Bouo
;Nakaka;Dalinga
;Nonkondougou;Debere diouldé
;Noumoudara;Dianalaye
;Péni;Diatou
;Samaradougou;Diouga
;Sokouranie;Fidialaré
;Taga;Gangaol
;tapokadeni;Gassel
;Tièmèrèdji;Gorouel kadje
;Tien;Gorouol kolle
;Tiougouana;Goundere
;Balla;Guidere
;Bossora;Kallo
;Dorossiamasso;Karegoussi
;Fina;Karga
;Kadomba;Lamdamaol
;Koroma;Lerel
;Mogobasso;Loutougou
;Molokadoun;Modjouma
;Nefrelaye;Monga
;Ramatoulaye;Ourfare djouma
;Sala;Ouro belco
;Satiri;Ouro Hoyendé
;Sissa;Ouro Sambo
;Sokourani;Ouro Tiaguel
;Tiarako;Pagalaga
;Wérou;Petareobe
